no,column_name,presentation_label_ko,presentation_label_en,window,feature_family,interpretation_group,value_type,modeling_role,source_stage,source_table,used_in_any_feature_set,used_in_primary_model,used_in_stage07r_true_shap,shap_rank,mean_abs_shap,example_values_or_range,missing_rate,unique_count,calculation_logic,plain_interpretation,caution,target_adjacent_or_redundancy_flag,final_use_recommendation,do_not_claim
74,w1_3_genre_session_count_historical_war,1~3주 historical/war 장르 세션 수,w1 3 genre session count historical war,w1_3,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,72,0.0018132758725042,"min=0, median=0.0, max=33",0.0,20,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
76,w1_3_genre_watch_time_horror,1~3주 horror 장르 시청 시간,w1 3 genre watch time horror,w1_3,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,42,0.0123706001816714,"min=0.0, median=0.0, max=1038.0",0.0,326,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
77,w1_3_genre_session_count_horror,1~3주 horror 장르 세션 수,w1 3 genre session count horror,w1_3,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,41,0.0131037494537157,"min=0, median=0.0, max=27",0.0,17,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
79,w1_3_genre_watch_time_other,1~3주 other 장르 시청 시간,w1 3 genre watch time other,w1_3,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,64,0.0042327329331892,"min=0.0, median=0.0, max=1538.0",0.0,285,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
80,w1_3_genre_session_count_other,1~3주 other 장르 세션 수,w1 3 genre session count other,w1_3,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,82,0.0003136785346156,"min=0, median=0.0, max=36",0.0,20,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
81,w1_3_release_month_covered_watch_ratio,1~3주 공개월 확인 시청 비중,w1 3 release month covered watch ratio,w1_3,release_month,weekly_ratio,boolean,feature,Stage 04,modeling_dataset_v2_w1_3.csv,Y,Y,Y,135,0.0,"min=0.0, median=1.0, max=1.0",0.0,2,해당 주차 시청 시간이 관측창 총 시청 시간에서 차지하는 비율입니다.,특정 주차에 시청이 몰린 정도입니다.,재구독 판단 시점에 가까운 행동 proxy일 수 있어 target-adjacent로 조심해야 합니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
94,w1_4_first_watch_rel_day,1~4주 첫 시청 상대일,w1 4 first watch rel day,w1_4,usage,watch_timing_rel_day,numeric,feature,Stage 03,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=4.0, max=27.0",0.0076881293611331634,28,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,값이 클수록 첫 시청 또는 마지막 시청이 구독 시작 후 더 늦게 발생했다는 뜻입니다.,재구독 판단 시점에 가까운 행동 proxy일 수 있어 target-adjacent로 조심해야 합니다.,Y,use_with_caution,"Do not claim causality, independent effect, or guaranteed retention impact."
95,w1_4_last_watch_rel_day,1~4주 마지막 시청 상대일,w1 4 last watch rel day,w1_4,usage,watch_timing_rel_day,numeric,feature,Stage 03,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=18.0, max=27.0",0.0076881293611331634,28,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,값이 클수록 첫 시청 또는 마지막 시청이 구독 시작 후 더 늦게 발생했다는 뜻입니다.,재구독 판단 시점에 가까운 행동 proxy일 수 있어 target-adjacent로 조심해야 합니다.,Y,use_with_caution,"Do not claim causality, independent effect, or guaranteed retention impact."
96,w1_4_week1_watch_time,1~4주 1주차 시청 시간,w1 4 week1 watch time,w1_4,usage,weekly_watch_time,numeric,feature,Stage 03,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=26.0, max=4766.0",0.0,863,관측창 안의 주차별 시청 시간 또는 세션 수를 집계한 변수입니다.,값이 클수록 관측창 안의 시청 활동량 또는 집중도가 큽니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
97,w1_4_week2_watch_time,1~4주 2주차 시청 시간,w1 4 week2 watch time,w1_4,usage,weekly_watch_time,numeric,feature,Stage 03,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=23.0, max=2957.0",0.0,859,관측창 안의 주차별 시청 시간 또는 세션 수를 집계한 변수입니다.,값이 클수록 관측창 안의 시청 활동량 또는 집중도가 큽니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
98,w1_4_week3_watch_time,1~4주 3주차 시청 시간,w1 4 week3 watch time,w1_4,usage,weekly_watch_time,numeric,feature,Stage 03,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=26.0, max=2691.0",0.0,845,관측창 안의 주차별 시청 시간 또는 세션 수를 집계한 변수입니다.,값이 클수록 관측창 안의 시청 활동량 또는 집중도가 큽니다.,재구독 판단 시점에 가까운 행동 proxy일 수 있어 target-adjacent로 조심해야 합니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
99,w1_4_week1_sessions,1~4주 1주차 세션 수,w1 4 week1 sessions,w1_4,usage,weekly_sessions,numeric,feature,Stage 03,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0, median=1.0, max=70",0.0,37,관측창 안의 주차별 시청 시간 또는 세션 수를 집계한 변수입니다.,값이 클수록 관측창 안의 시청 활동량 또는 집중도가 큽니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
100,w1_4_week2_sessions,1~4주 2주차 세션 수,w1 4 week2 sessions,w1_4,usage,weekly_sessions,numeric,feature,Stage 03,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0, median=1.0, max=60",0.0,36,관측창 안의 주차별 시청 시간 또는 세션 수를 집계한 변수입니다.,값이 클수록 관측창 안의 시청 활동량 또는 집중도가 큽니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
101,w1_4_week3_sessions,1~4주 3주차 세션 수,w1 4 week3 sessions,w1_4,usage,weekly_sessions,numeric,feature,Stage 03,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0, median=1.0, max=41",0.0,37,관측창 안의 주차별 시청 시간 또는 세션 수를 집계한 변수입니다.,값이 클수록 관측창 안의 시청 활동량 또는 집중도가 큽니다.,재구독 판단 시점에 가까운 행동 proxy일 수 있어 target-adjacent로 조심해야 합니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
102,w1_4_week1_ratio,1~4주 1주차 시청 비중,w1 4 week1 ratio,w1_4,usage,weekly_ratio,numeric,feature,Stage 03,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=0.188612, max=1.0",0.0,10384,해당 주차 시청 시간이 관측창 총 시청 시간에서 차지하는 비율입니다.,특정 주차에 시청이 몰린 정도입니다.,재구독 판단 시점에 가까운 행동 proxy일 수 있어 target-adjacent로 조심해야 합니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
103,w1_4_week2_ratio,1~4주 2주차 시청 비중,w1 4 week2 ratio,w1_4,usage,weekly_ratio,numeric,feature,Stage 03,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=0.166667, max=1.0",0.0,10610,해당 주차 시청 시간이 관측창 총 시청 시간에서 차지하는 비율입니다.,특정 주차에 시청이 몰린 정도입니다.,재구독 판단 시점에 가까운 행동 proxy일 수 있어 target-adjacent로 조심해야 합니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
104,w1_4_week3_ratio,1~4주 3주차 시청 비중,w1 4 week3 ratio,w1_4,usage,weekly_ratio,numeric,feature,Stage 03,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=0.172043, max=1.0",0.0,10525,해당 주차 시청 시간이 관측창 총 시청 시간에서 차지하는 비율입니다.,특정 주차에 시청이 몰린 정도입니다.,재구독 판단 시점에 가까운 행동 proxy일 수 있어 target-adjacent로 조심해야 합니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
105,w1_4_w2_minus_w1_watch_time,1~4주 w2 minus w1 watch time,w1 4 w2 minus w1 watch time,w1_4,usage,week_to_week_delta,numeric,feature,Stage 03,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=-3444.0, median=0.0, max=2957.0",0.0,1390,두 주차의 시청 시간 차이입니다.,주차 간 시청량 증가 또는 감소 흐름입니다.,재구독 판단 시점에 가까운 행동 proxy일 수 있어 target-adjacent로 조심해야 합니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
106,w1_4_w3_minus_w1_watch_time,1~4주 w3 minus w1 watch time,w1 4 w3 minus w1 watch time,w1_4,usage,week_to_week_delta,numeric,feature,Stage 03,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=-4380.0, median=0.0, max=2691.0",0.0,1493,두 주차의 시청 시간 차이입니다.,주차 간 시청량 증가 또는 감소 흐름입니다.,재구독 판단 시점에 가까운 행동 proxy일 수 있어 target-adjacent로 조심해야 합니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
112,w1_4_week4_watch_time,1~4주 4주차 시청 시간,w1 4 week4 watch time,w1_4,usage,weekly_watch_time,numeric,feature,Stage 03,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=0.0, max=3455.0",0.0,585,관측창 안의 주차별 시청 시간 또는 세션 수를 집계한 변수입니다.,값이 클수록 관측창 안의 시청 활동량 또는 집중도가 큽니다.,재구독 판단 시점에 가까운 행동 proxy일 수 있어 target-adjacent로 조심해야 합니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
113,w1_4_week4_sessions,1~4주 4주차 세션 수,w1 4 week4 sessions,w1_4,usage,weekly_sessions,numeric,feature,Stage 03,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0, median=0.0, max=44",0.0,30,관측창 안의 주차별 시청 시간 또는 세션 수를 집계한 변수입니다.,값이 클수록 관측창 안의 시청 활동량 또는 집중도가 큽니다.,재구독 판단 시점에 가까운 행동 proxy일 수 있어 target-adjacent로 조심해야 합니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
114,w1_4_week4_ratio,1~4주 4주차 시청 비중,w1 4 week4 ratio,w1_4,usage,weekly_ratio,numeric,feature,Stage 03,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=0.0, max=1.0",0.0,4086,해당 주차 시청 시간이 관측창 총 시청 시간에서 차지하는 비율입니다.,특정 주차에 시청이 몰린 정도입니다.,재구독 판단 시점에 가까운 행동 proxy일 수 있어 target-adjacent로 조심해야 합니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
115,w1_4_w4_minus_w1_watch_time,1~4주 w4 minus w1 watch time,w1 4 w4 minus w1 watch time,w1_4,usage,week_to_week_delta,numeric,feature,Stage 03,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=-4766.0, median=-12.0, max=3188.0",0.0,1377,두 주차의 시청 시간 차이입니다.,주차 간 시청량 증가 또는 감소 흐름입니다.,재구독 판단 시점에 가까운 행동 proxy일 수 있어 target-adjacent로 조심해야 합니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
116,w1_4_w4_minus_w3_watch_time,1~4주 w4 minus w3 watch time,w1 4 w4 minus w3 watch time,w1_4,usage,week_to_week_delta,numeric,feature,Stage 03,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=-2297.0, median=-11.0, max=2261.0",0.0,1304,두 주차의 시청 시간 차이입니다.,주차 간 시청량 증가 또는 감소 흐름입니다.,재구독 판단 시점에 가까운 행동 proxy일 수 있어 target-adjacent로 조심해야 합니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
118,w1_4_genre_covered_watch_time,1~4주 장르 확인 시청 시간,w1 4 genre covered watch time,w1_4,genre,coverage_missing_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=225.0, max=6474.0",0.0,1645,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,예측 설명에는 사용할 수 있지만 인과효과로 해석하지 않습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
119,w1_4_genre_missing_watch_time,1~4주 장르 미확인 시청 시간,w1 4 genre missing watch time,w1_4,genre,coverage_missing_proxy,boolean,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=0.0, max=0.0",0.0,1,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,예측 설명에는 사용할 수 있지만 인과효과로 해석하지 않습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
120,w1_4_genre_covered_watch_ratio,1~4주 장르 확인 시청 비중,w1 4 genre covered watch ratio,w1_4,genre,coverage_missing_proxy,boolean,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=1.0, max=1.0",0.0,2,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,예측 설명에는 사용할 수 있지만 인과효과로 해석하지 않습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
121,w1_4_genre_missing_watch_ratio,1~4주 장르 미확인 시청 비중,w1 4 genre missing watch ratio,w1_4,genre,coverage_missing_proxy,boolean,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=0.0, max=0.0",0.0,1,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,예측 설명에는 사용할 수 있지만 인과효과로 해석하지 않습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
128,w1_4_genre_watch_time_drama,1~4주 drama 장르 시청 시간,w1 4 genre watch time drama,w1_4,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=1.0, max=2275.0",0.0,666,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
129,w1_4_genre_session_count_drama,1~4주 drama 장르 세션 수,w1 4 genre session count drama,w1_4,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0, median=1.0, max=28",0.0,25,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
131,w1_4_genre_watch_time_thriller_crime,1~4주 thriller/crime 장르 시청 시간,w1 4 genre watch time thriller crime,w1_4,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=0.0, max=1478.0",0.0,579,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
132,w1_4_genre_session_count_thriller_crime,1~4주 thriller/crime 장르 세션 수,w1 4 genre session count thriller crime,w1_4,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0, median=0.0, max=28",0.0,22,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
134,w1_4_genre_watch_time_sf_fantasy,1~4주 sf/fantasy 장르 시청 시간,w1 4 genre watch time sf fantasy,w1_4,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=0.0, max=2727.0",0.0,722,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
135,w1_4_genre_session_count_sf_fantasy,1~4주 sf/fantasy 장르 세션 수,w1 4 genre session count sf fantasy,w1_4,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0, median=0.0, max=40",0.0,30,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
137,w1_4_genre_watch_time_action_adventure,1~4주 action/adventure 장르 시청 시간,w1 4 genre watch time action adventure,w1_4,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=0.0, max=1969.0",0.0,532,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
138,w1_4_genre_session_count_action_adventure,1~4주 action/adventure 장르 세션 수,w1 4 genre session count action adventure,w1_4,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0, median=0.0, max=25",0.0,22,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
140,w1_4_genre_watch_time_animation_family,1~4주 animation/family 장르 시청 시간,w1 4 genre watch time animation family,w1_4,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=0.0, max=1842.0",0.0,626,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
141,w1_4_genre_session_count_animation_family,1~4주 animation/family 장르 세션 수,w1 4 genre session count animation family,w1_4,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0, median=0.0, max=47",0.0,39,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
143,w1_4_genre_watch_time_romance,1~4주 romance 장르 시청 시간,w1 4 genre watch time romance,w1_4,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=0.0, max=4388.0",0.0,513,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
144,w1_4_genre_session_count_romance,1~4주 romance 장르 세션 수,w1 4 genre session count romance,w1_4,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0, median=0.0, max=40",0.0,24,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
146,w1_4_genre_watch_time_comedy,1~4주 comedy 장르 시청 시간,w1 4 genre watch time comedy,w1_4,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=0.0, max=1967.0",0.0,473,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
147,w1_4_genre_session_count_comedy,1~4주 comedy 장르 세션 수,w1 4 genre session count comedy,w1_4,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0, median=0.0, max=19",0.0,18,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
149,w1_4_genre_watch_time_historical_war,1~4주 historical/war 장르 시청 시간,w1 4 genre watch time historical war,w1_4,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=0.0, max=1795.0",0.0,551,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
150,w1_4_genre_session_count_historical_war,1~4주 historical/war 장르 세션 수,w1 4 genre session count historical war,w1_4,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0, median=0.0, max=36",0.0,20,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
152,w1_4_genre_watch_time_horror,1~4주 horror 장르 시청 시간,w1 4 genre watch time horror,w1_4,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=0.0, max=1038.0",0.0,332,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
153,w1_4_genre_session_count_horror,1~4주 horror 장르 세션 수,w1 4 genre session count horror,w1_4,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0, median=0.0, max=27",0.0,17,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
155,w1_4_genre_watch_time_other,1~4주 other 장르 시청 시간,w1 4 genre watch time other,w1_4,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=0.0, max=2285.0",0.0,325,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
156,w1_4_genre_session_count_other,1~4주 other 장르 세션 수,w1 4 genre session count other,w1_4,genre,genre_volume_proxy,numeric,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0, median=0.0, max=46",0.0,21,"장르별 시청 시간 또는 세션 수이며, 취향과 사용량이 섞인 proxy입니다.",장르 선호처럼 보이지만 사용량 proxy가 섞일 수 있습니다.,순수 장르 취향보다 사용량 중복 신호일 수 있습니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
157,w1_4_release_month_covered_watch_ratio,1~4주 공개월 확인 시청 비중,w1 4 release month covered watch ratio,w1_4,release_month,weekly_ratio,boolean,feature,Stage 04,modeling_dataset_v2_w1_4.csv,Y,N,N,,,"min=0.0, median=1.0, max=1.0",0.0,2,해당 주차 시청 시간이 관측창 총 시청 시간에서 차지하는 비율입니다.,특정 주차에 시청이 몰린 정도입니다.,재구독 판단 시점에 가까운 행동 proxy일 수 있어 target-adjacent로 조심해야 합니다.,Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
